"key","context","english","indonesian","malay","status"
"meta.title","Browser title","Ethan's Chess — Play Multiplayer Chess with Friends","Catur Ethan — Main Catur Multipemain bersama Teman","Catur Ethan — Main Catur Berbilang Pemain bersama Rakan","draft"
"meta.description","SEO description","Play multiplayer chess with friends and family anywhere in the world. Real-time matches, leaderboard rankings, video chat, and more — free to play.","Main catur multipemain bersama teman dan keluarga di mana pun di dunia. Pertandingan langsung, peringkat papan skor, obrolan video, dan lainnya — gratis.","Main catur berbilang pemain bersama rakan dan keluarga di mana-mana sahaja. Perlawanan masa nyata, kedudukan papan pendahulu, sembang video dan banyak lagi — percuma.","draft"
"a11y.skip","Accessibility link","Skip to main content","Lewati ke konten utama","Langkau ke kandungan utama","draft"
"language.label","Language selector label","Language","Bahasa","Bahasa","draft"
"boot.preparing","Loading announcement","Preparing the chess table","Menyiapkan papan catur","Menyediakan papan catur","draft"
"brand.name","Product name","Ethan's Chess","Catur Ethan","Catur Ethan","draft"
"home.subtitle","Home introduction","Play chess with friends—wherever they are. Create a free account to invite friends, join live matches, and keep your wins.","Main catur bersama teman—di mana pun mereka berada. Buat akun gratis untuk mengundang teman, mengikuti pertandingan langsung, dan menyimpan kemenanganmu.","Main catur bersama rakan—di mana-mana sahaja mereka berada. Cipta akaun percuma untuk menjemput rakan, menyertai perlawanan langsung dan menyimpan kemenangan anda.","draft"
"home.invite_friends","","✓ Invite friends","✓ Undang teman","✓ Jemput rakan","draft"
"home.save_record","","✓ Save your record","✓ Simpan catatanmu","✓ Simpan rekod anda","draft"
"home.live_matches","","✓ Join live matches","✓ Ikuti pertandingan langsung","✓ Sertai perlawanan langsung","draft"
"home.eyebrow","","Your next game is waiting","Permainan berikutnya menunggumu","Permainan seterusnya menanti anda","draft"
"home.join_title","","Join the table","Bergabung di papan","Sertai meja permainan","draft"
"home.join_copy","","Start free. Your friends, progress, and match history stay with you.","Mulai gratis. Teman, progres, dan riwayat pertandinganmu tetap tersimpan.","Mula secara percuma. Rakan, kemajuan dan sejarah perlawanan anda kekal bersama anda.","draft"
"auth.continue_google","","Continue with Google","Lanjutkan dengan Google","Teruskan dengan Google","draft"
"auth.continue_apple","","Continue with Apple","Lanjutkan dengan Apple","Teruskan dengan Apple","draft"
"auth.or_email","","or sign up with email","atau daftar dengan email","atau daftar dengan e-mel","draft"
"auth.create_free","","Create Free Account","Buat Akun Gratis","Cipta Akaun Percuma","draft"
"auth.have_account","","Already have an account?","Sudah punya akun?","Sudah mempunyai akaun?","draft"
"auth.sign_in","","Sign in","Masuk","Log masuk","draft"
"auth.signed_in_as","","Signed in as","Masuk sebagai","Log masuk sebagai","draft"
"auth.edit_name","","Edit name","Edit nama","Edit nama","draft"
"auth.my_account","","My Account","Akun Saya","Akaun Saya","draft"
"auth.log_out","","Log out","Keluar","Log keluar","draft"
"common.save","","Save","Simpan","Simpan","draft"
"common.cancel","","Cancel","Batal","Batal","draft"
"common.close","","Close","Tutup","Tutup","draft"
"common.back","","Back","Kembali","Kembali","draft"
"common.refresh","","Refresh","Segarkan","Muat semula","draft"
"common.open","","Open","Buka","Buka","draft"
"common.open_arrow","","Open →","Buka →","Buka →","draft"
"common.accept","","Accept","Terima","Terima","draft"
"common.decline","","Decline","Tolak","Tolak","draft"
"common.confirm","","Confirm","Konfirmasi","Sahkan","draft"
"common.continue","","Continue","Lanjutkan","Teruskan","draft"
"common.send","","Send","Kirim","Hantar","draft"
"common.add","","Add","Tambah","Tambah","draft"
"common.next","","Next","Berikutnya","Seterusnya","draft"
"common.previous","","Previous","Sebelumnya","Sebelumnya","draft"
"common.try_again","","Try again","Coba lagi","Cuba lagi","draft"
"common.loading","","Loading…","Memuat…","Memuatkan…","draft"
"nav.single_player","","Single Player","Pemain Tunggal","Pemain Tunggal","draft"
"nav.find_buddy","","Find a Chess Buddy","Cari Teman Catur","Cari Rakan Catur","draft"
"nav.achievements","","🏆 Achievements","🏆 Pencapaian","🏆 Pencapaian","draft"
"home.setup_note","","Choose your color, customize your pieces, and start from the board you actually want to play on.","Pilih warna, sesuaikan buah catur, lalu mulai dari papan yang benar-benar ingin kamu mainkan.","Pilih warna, sesuaikan buah catur dan mula dari papan yang benar-benar anda mahu mainkan.","draft"
"home.still_here","","💡 Still here?","💡 Masih di sini?","💡 Masih di sini?","draft"
"home.invite_now","","Invite a friend and play a live game right now.","Undang teman dan mainkan pertandingan langsung sekarang.","Jemput rakan dan main perlawanan langsung sekarang.","draft"
"home.create_arrow","","Create free account →","Buat akun gratis →","Cipta akaun percuma →","draft"
"guest.try_first","","want to try it first?","ingin mencoba dulu?","mahu cuba dahulu?","draft"
"guest.play_gus","","Play Gambit Gus","Main melawan Gambit Gus","Main dengan Gambit Gus","draft"
"guest.name","","Guest name","Nama tamu","Nama tetamu","draft"
"guest.name_placeholder","","How should we call you?","Kami harus memanggilmu apa?","Apakah nama panggilan anda?","draft"
"setup.continue","","Continue to Game Setup","Lanjutkan ke Pengaturan Permainan","Teruskan ke Persediaan Permainan","draft"
"social.friends","","Friends","Teman","Rakan","draft"
"social.pending","","Pending","Menunggu","Menunggu","draft"
"social.sent","","Sent","Terkirim","Dihantar","draft"
"social.add_friend","","+ Add Friend","+ Tambah Teman","+ Tambah Rakan","draft"
"social.add_friend_plain","","Add Friend","Tambah Teman","Tambah Rakan","draft"
"social.share_invite","","Share Invite Link","Bagikan Tautan Undangan","Kongsi Pautan Jemputan","draft"
"social.add_email","","Add by email","Tambah lewat email","Tambah melalui e-mel","draft"
"social.send_request","","Send request","Kirim permintaan","Hantar permintaan","draft"
"social.friend_hint","","We will find their player account. They must accept before you become friends.","Kami akan mencari akun pemain mereka. Mereka harus menerima sebelum kalian menjadi teman.","Kami akan mencari akaun pemain mereka. Mereka mesti menerima sebelum anda menjadi rakan.","draft"
"family.title","","Family","Keluarga","Keluarga","draft"
"family.invites","","Family invites","Undangan keluarga","Jemputan keluarga","draft"
"family.empty","","Play together — create a family and add your kids.","Main bersama — buat keluarga dan tambahkan anak-anakmu.","Main bersama — cipta keluarga dan tambahkan anak-anak anda.","draft"
"family.create","","+ Family","+ Keluarga","+ Keluarga","draft"
"family.invite","","+ Invite to Family","+ Undang ke Keluarga","+ Jemput ke Keluarga","draft"
"family.add_child","","+ Add Child Account","+ Tambah Akun Anak","+ Tambah Akaun Kanak-kanak","draft"
"family.leave","","Leave Family","Keluar dari Keluarga","Tinggalkan Keluarga","draft"
"family.nickname","","Player nickname","Nama panggilan pemain","Nama panggilan pemain","draft"
"family.birth_year","","Child's birth year","Tahun lahir anak","Tahun kelahiran kanak-kanak","draft"
"family.parent_email","","Your (parent) email","Email Anda (orang tua)","E-mel anda (ibu bapa)","draft"
"family.child_password","","Password for your child","Kata sandi untuk anak Anda","Kata laluan untuk anak anda","draft"
"family.create_child","","Create Child Account","Buat Akun Anak","Cipta Akaun Kanak-kanak","draft"
"home.leaderboard","","Leaderboard","Papan Peringkat","Papan Pendahulu","draft"
"leaderboard.all_time","","All Time","Sepanjang Waktu","Sepanjang Masa","draft"
"leaderboard.this_week","","This Week","Minggu Ini","Minggu Ini","draft"
"leaderboard.view_full","","View full leaderboard","Lihat papan peringkat lengkap","Lihat papan pendahulu penuh","draft"
"leaderboard.reset","","Reset","Atur ulang","Tetapkan semula","draft"
"leaderboard.full","","Full Leaderboard","Papan Peringkat Lengkap","Papan Pendahulu Penuh","draft"
"leaderboard.description","","Every ranked player, best to still-climbing.","Semua pemain berperingkat, dari yang terbaik hingga yang masih menanjak.","Semua pemain berkedudukan, daripada yang terbaik hingga yang masih meningkat.","draft"
"profile.title","","Player Profile","Profil Pemain","Profil Pemain","draft"
"profile.player","","Player","Pemain","Pemain","draft"
"profile.description","","Performance, match history, and player details.","Performa, riwayat pertandingan, dan detail pemain.","Prestasi, sejarah perlawanan dan butiran pemain.","draft"
"profile.signin_details","","Sign in to view player details","Masuk untuk melihat detail pemain","Log masuk untuk melihat butiran pemain","draft"
"profile.overview","","Overview","Ringkasan","Gambaran Keseluruhan","draft"
"profile.stats","","Stats","Statistik","Statistik","draft"
"profile.history","","History","Riwayat","Sejarah","draft"
"profile.journal","","Journal","Jurnal","Jurnal","draft"
"profile.coaching","","Coaching","Pelatihan","Bimbingan","draft"
"profile.account","","Account","Akun","Akaun","draft"
"profile.at_glance","","At a glance","Sekilas","Sekilas pandang","draft"
"profile.performance","","Performance snapshot","Ringkasan performa","Ringkasan prestasi","draft"
"profile.rating","","Rating","Rating","Penarafan","draft"
"profile.wins","","Wins","Menang","Menang","draft"
"profile.losses","","Losses","Kalah","Kalah","draft"
"profile.high_fives","","High Fives","Tos","Tepuk Lima","draft"
"profile.connection","","Connection","Koneksi","Hubungan","draft"
"profile.story_empty","","Your chess story starts with game one","Kisah caturmu dimulai dari permainan pertama","Kisah catur anda bermula dengan permainan pertama","draft"
"profile.play_game","","Play a Game","Mainkan Permainan","Main Satu Permainan","draft"
"profile.chess_stats","","Chess Stats","Statistik Catur","Statistik Catur","draft"
"profile.head_to_head","","Head-to-head","Head-to-head","Bersemuka","draft"
"profile.as_white","","As White","Sebagai Putih","Sebagai Putih","draft"
"profile.as_black","","As Black","Sebagai Hitam","Sebagai Hitam","draft"
"profile.vs_bot","","Vs. Bot","Lawan Bot","Lwn. Bot","draft"
"profile.vs_human","","Vs. Human","Lawan Manusia","Lwn. Manusia","draft"
"profile.account_safety","","Account Safety","Keamanan Akun","Keselamatan Akaun","draft"
"profile.delete_account","","Delete Account","Hapus Akun","Padam Akaun","draft"
"profile.deletion_scheduled","","Deletion scheduled","Penghapusan dijadwalkan","Pemadaman dijadualkan","draft"
"profile.keep_account","","Keep my account","Pertahankan akun saya","Kekalkan akaun saya","draft"
"history.match_history","","Match History","Riwayat Pertandingan","Sejarah Perlawanan","draft"
"history.signin_required","","Sign in required","Harus masuk","Log masuk diperlukan","draft"
"history.all","","All","Semua","Semua","draft"
"history.draws","","Draws","Remis","Seri","draft"
"history.any_color","","Any color","Warna apa pun","Sebarang warna","draft"
"history.white","","White","Putih","Putih","draft"
"history.black","","Black","Hitam","Hitam","draft"
"history.any_mode","","Any mode","Mode apa pun","Sebarang mod","draft"
"history.online","","Online","Daring","Dalam talian","draft"
"history.computer","","Computer","Komputer","Komputer","draft"
"history.page_one","","Page 1 of 1","Halaman 1 dari 1","Halaman 1 daripada 1","draft"
"journal.title","","My Chess Journal","Jurnal Catur Saya","Jurnal Catur Saya","draft"
"journal.last_day","","Last 24h","24 jam terakhir","24 jam lalu","draft"
"journal.seven_days","","7 days","7 hari","7 hari","draft"
"journal.since_entry","","Since last entry","Sejak catatan terakhir","Sejak catatan terakhir","draft"
"journal.write","","Write a new entry","Tulis catatan baru","Tulis catatan baharu","draft"
